,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,27:58,158,"1,462",458,5,31,39.5,125,3.47s,9,331,167,20,15,464,1,85%,1,3,88.6%,319,19,22,12,8,8,0,73%,27/37,Raiders vs Titans,Raiders,2016
1,44%,21:59,166,"1,389",423,4,19,37.6,152,3.41s,13,371,201,26,17,446,2,17%,6,2,87.3%,308,31,14,6,10,5,7,84%,31/37,Raiders vs Titans,Titans,2016
