,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,31:47,212,"1,911",680,3,21,44.5,202,3.34s,9,462,254,41,21,633,1,75%,1,3,90.7%,353,23,13,5,1,84%,36/43,Broncos vs Roosters,Broncos,2015
1,39%,20:19,167,"1,590",505,3,23,39.8,255,3.9s,6,393,207,9,19,562,2,88%,2,4,92.3%,420,21,14,9,1,72%,29/40,Broncos vs Roosters,Roosters,2015
