,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:50,156,"1,679",588,4,28,43.1,227,3.45s,1,332,167,10,16,408,2,100%,0,1,6,85.8%,350,35,1,23,8,79%,31/39,Dragons vs Wests Tigers,Dragons,2015
1,51%,24:48,165,"1,672",509,6,35,41.8,169,3.57s,11,341,180,18,10,319,0,86%,1,2,0,92.3%,348,28,2,1,9,68%,27/40,Dragons vs Wests Tigers,Wests Tigers,2015
