,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,23:08,147,"1,308",442,1,8,33.6,150,8,351,185,8,19,594,2,71%,0,4,83.8%,325,51,2,12,4,69%,27/39,Titans vs Rabbitohs,Titans,2013
1,56%,29:26,176,"1,866",557,7,51,53.3,252,9,398,205,8,21,569,0,94%,4,3,94.3%,313,8,1,11,8,86%,30/35,Titans vs Rabbitohs,Rabbitohs,2013
