,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:34,160,"1,290",491,0,24,35.8,74,3.45s,13,374,213,11,13,230,2,100%,1,3,83.7%,298,42,2,16,18,6,8,61%,22/36,Knights vs Panthers,Knights,2016
1,48%,22:40,175,"1,678",536,7,42,45.4,137,3.19s,10,358,195,9,10,307,0,50%,1,2,86.8%,283,24,0,19,12,11,8,68%,25/37,Knights vs Panthers,Panthers,2016
