,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,22:40,158,"1,465",455,4,35,44.4,153,3.08s,6,358,195,17,15,362,1,69%,1,7,90.5%,342,30,1,6,12,5,7,67%,22/33,Titans vs Cowboys,Titans,2018
1,53%,25:34,181,"1,585",471,4,30,38.7,183,3.39s,6,415,230,39,23,470,6,80%,3,9,86%,296,35,1,13,10,4,8,78%,32/41,Titans vs Cowboys,Cowboys,2018
