,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:31,160,"1,434",472,3,15,38.8,159,3.21s,9,365,187,15,23,684,3,58%,7,7,84.1%,329,52,10,3,9,6,4,92%,34/37,Wests Tigers vs Knights,Wests Tigers,2018
1,50%,26:31,164,"1,468",485,6,52,38.7,211,3.22s,7,366,190,13,19,540,1,77%,7,2,92.1%,337,15,14,8,6,7,2,84%,32/38,Wests Tigers vs Knights,Knights,2018
