,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,25:35,156,"1,596",536,7,35,38.9,224,5,383,213,15,18,440,3,75%,1,6,5,91.9%,249,11,11,6,0,83%,34/41,Warriors vs Eels,Warriors,2014
1,44%,20:06,113,901,306,1,11,32.2,83,8,298,170,10,14,421,4,75%,1,2,2,88.2%,314,35,7,9,1,68%,19/28,Warriors vs Eels,Eels,2014
