,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:15,162,"1,714",537,8,26,47.6,260,3.55s,8,388,223,26,18,394,2,71%,1,8,86.4%,330,38,0,14,12,6,0,8,69%,25/36,Sharks vs Broncos,Sharks,2018
1,51%,27:19,177,"1,632",508,5,38,46.6,141,3.36s,9,389,200,21,21,530,1,73%,0,3,90.2%,331,26,1,10,6,6,1,8,86%,30/35,Sharks vs Broncos,Broncos,2018
