,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,27:19,176,"1,570",511,4,35,42.5,237,3.11s,15,391,208,35,20,455,2,56%,6,2,84.8%,291,30,22,9,7,0,7,0,78%,29/37,Panthers vs Bulldogs,Panthers,2018
1,46%,23:16,156,"1,225",405,2,30,34,94,3.29s,12,349,182,25,17,453,1,50%,2,2,86.5%,320,35,15,11,7,1,7,2,72%,26/36,Panthers vs Bulldogs,Bulldogs,2018
