,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:06,170,"1,648",334,6,34,43.4,231,3.66s,6,366,205,13,17,479,1,75%,5,2,89.5%,306,18,18,10,8,0,5,2,79%,30/38,Roosters vs Raiders,Roosters,2019
1,48%,25:00,155,"1,459",324,4,18,39.4,195,3.48s,11,352,190,20,20,584,1,67%,5,6,86.9%,324,34,15,7,8,1,8,1,84%,31/37,Roosters vs Raiders,Raiders,2019
