,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:02,160,"1,309",365,2,26,39.7,207,3.41s,13,368,206,32,19,543,3,67%,2,7,88.3%,333,38,6,6,4,8,85%,28/33,Warriors vs Broncos,Warriors,2018
1,48%,24:58,155,"1,542",520,5,38,48.2,270,3.52s,5,358,189,14,18,451,2,89%,5,3,87.7%,314,26,18,5,8,8,88%,28/32,Warriors vs Broncos,Broncos,2018
