,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,31:47,196,"1,851",604,4,36,43.1,173,3.37s,9,477,267,7,24,626,2,100%,5,2,86.8%,395,35,25,10,5,10,2,81%,35/43,Sharks vs Raiders,Sharks,2019
1,50%,31:47,206,"2,033",653,3,35,47.3,314,3.27s,14,446,223,7,22,676,1,60%,4,4,89.4%,389,36,10,6,6,10,0,86%,37/43,Sharks vs Raiders,Raiders,2019
