,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,28:17,188,"1,928",677,10,29,47,265,3.99s,3,399,217,45,15,417,2,71%,2,7,91.4%,296,15,0,13,3,76%,31/41,Cowboys vs Eels,Cowboys,2015
1,37%,16:36,161,"1,259",479,1,15,39.4,52,3.97s,7,352,189,15,19,540,1,82%,1,2,91.5%,366,29,1,5,6,78%,25/32,Cowboys vs Eels,Eels,2015
