,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:41,171,"1,804",656,2,35,47.5,285,3.39s,3,447,258,40,21,340,6,100%,4,9,90.7%,313,28,0,4,13,6,8,2,82%,31/38,Cowboys vs Warriors,Cowboys,2018
1,42%,21:30,150,"1,369",460,4,28,42.8,107,3.21s,6,330,173,18,14,492,0,47%,2,0,90.4%,367,35,1,4,10,7,8,0,75%,24/32,Cowboys vs Warriors,Warriors,2018
