,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,32:49,184,"1,641",575,3,32,41,163,3.34s,6,436,245,21,18,511,64%,7,3,92.4%,303,21,0,4,9,6,0,8,75%,30/40,Storm vs Panthers,Storm,2018
1,39%,20:59,150,"1,422",482,2,21,38.4,187,2.82s,4,343,176,8,21,643,100%,4,5,89.7%,348,32,2,8,7,12,2,8,76%,28/37,Storm vs Panthers,Panthers,2018
