,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,31:35,195,"1,910",592,6,27,47.8,264,3.6s,6,463,266,14,20,473,4,75%,12,5,92.8%,349,19,1,8,11,6,8,0,78%,31/40,Sharks vs Cowboys,Sharks,2019
1,45%,25:50,157,"1,254",365,2,19,34.9,79,3.65s,4,371,197,7,22,727,0,73%,5,3,90.2%,386,27,0,15,7,6,7,1,81%,29/36,Sharks vs Cowboys,Cowboys,2019
