,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,37%,20:19,159,"1,650",524,3,22,45.8,101,18,403,216,15,20,456,0,92%,4,4,90.9%,360,28,1,8,4,1,67%,24/36,Titans vs Dragons,Titans,2014
1,63%,34:35,169,"1,635",533,4,28,39.9,175,6,427,229,13,23,535,1,93%,3,6,85.4%,310,22,2,31,3,0,73%,30/41,Titans vs Dragons,Dragons,2014
