,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:06,167,"1,466",409,2,17,36.7,186,3.48s,8,386,213,46,20,414,0,100%,6,6,82.5%,306,35,30,11,7,0,7,78%,31/40,Titans vs Sea Eagles,Titans,2017
1,52%,27:12,167,"1,624",515,6,35,41.7,144,3.77s,15,366,195,33,18,641,3,71%,1,4,91.6%,285,17,9,11,8,1,6,74%,29/39,Titans vs Sea Eagles,Sea Eagles,2017
