,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,29:22,176,"1,627",589,2,15,39.7,240,3,440,242,12,28,846,1,76%,0,5,91.9%,331,14,15,6,83%,34/41,Eels vs Sharks,Eels,2013
1,43%,22:09,156,"1,433",534,0,14,35,232,10,380,198,13,22,634,1,85%,1,3,95.1%,367,15,4,5,68%,28/41,Eels vs Sharks,Sharks,2013
