,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,62%,28:41,192,"1,957",614,9,39,43.5,213,3.75s,11,412,223,30,21,486,1,80%,4,8,92.6%,252,14,1,6,5,5,0,7,0,89%,40/45,Broncos vs Knights,Broncos,2016
1,38%,17:35,112,"1,021",369,0,14,35.2,116,3.34s,1,277,146,8,15,303,1,71%,4,5,85.2%,327,39,1,18,10,8,1,4,3,66%,19/29,Broncos vs Knights,Knights,2016
