,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,22:19,167,"1,430",484,3,36,37.6,121,15,410,219,16,19,408,1,77%,2,2,87.9%,350,25,23,11,0,74%,28/38,Panthers vs Titans,Panthers,2014
1,59%,32:07,182,"1,456",500,1,25,37.4,170,17,429,223,16,22,483,3,79%,5,7,84.2%,310,36,22,10,1,74%,29/39,Panthers vs Titans,Titans,2014
