,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,20:56,158,"1,323",498,4,27,37.8,98,2.44s,6,369,197,15,20,541,0,90%,0,3,88.8%,358,22,23,8,77%,27/35,Sea Eagles vs Panthers,Sea Eagles,2015
1,59%,30:07,196,"1,675",567,4,22,40.9,238,2.47s,16,447,238,35,23,612,2,71%,5,4,89.4%,339,28,12,6,83%,34/41,Sea Eagles vs Panthers,Panthers,2015
