,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:24,145,"1,338",481,2,21,38.2,159,10,362,192,5,19,502,0,89%,1,1,88.9%,319,29,0,11,5,63%,22/35,Titans vs Eels,Titans,2014
1,53%,27:31,152,"1,604",459,4,29,40.1,209,7,416,237,5,21,439,4,92%,1,6,89.7%,287,21,1,12,4,75%,30/40,Titans vs Eels,Eels,2014
