,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:49,168,"1,442",411,4,45,35.2,181,3.81s,11,379,214,13,20,444,1,80%,3,8,87.3%,323,30,1,17,13,9,1,0,7,68%,28/41,Raiders vs Storm,Raiders,2017
1,51%,27:54,182,"1,586",445,4,30,40.7,198,3.76s,8,387,201,26,20,500,2,60%,2,6,84.9%,310,45,1,10,8,9,0,1,7,77%,30/39,Raiders vs Storm,Storm,2017
