,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:26,170,"1,681",485,5,30,45.4,188,3.83s,10,342,175,37,14,335,83%,5,3,85.3%,302,32,0,20,6,7,8,81%,30/37,Eels vs Warriors,Eels,2017
1,49%,24:27,167,"1,514",450,7,32,45.9,98,3.47s,11,360,197,29,16,501,78%,4,2,86%,320,30,1,22,9,9,7,79%,26/33,Eels vs Warriors,Warriors,2017
