,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,24:53,167,"1,319",462,2,41,38.8,120,3.12s,16,386,204,27,18,409,2,80%,6,6,85.8%,369,41,20,8,5,1,8,1,85%,29/34,Sea Eagles vs Cowboys,Sea Eagles,2018
1,55%,30:25,199,"1,654",484,4,41,44.7,236,3.32s,12,472,267,26,22,478,2,91%,3,6,81.8%,323,41,31,9,5,0,7,0,78%,29/37,Sea Eagles vs Cowboys,Cowboys,2018
