,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:58,188,"1,988",619,7,27,46.3,173,3,421,226,10,24,554,3,85%,3,11,89.3%,302,19,1,17,6,81%,35/43,Broncos vs Knights,Broncos,2014
1,46%,22:59,145,"1,290",483,1,19,40.3,110,12,331,175,6,14,338,0,93%,5,4,92.3%,374,27,0,4,6,69%,22/32,Broncos vs Knights,Knights,2014
