,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,23:15,159,"1,618",494,5,28,46.2,205,3.52s,9,325,170,8,16,434,29%,3,3,91.6%,359,23,1,10,13,9,8,0,69%,24/35,Sea Eagles vs Titans,Sea Eagles,2019
1,57%,30:50,197,"1,841",624,6,23,40.9,195,3.38s,6,459,245,22,31,810,86%,7,7,87.4%,299,28,0,15,7,5,7,1,89%,40/45,Sea Eagles vs Titans,Titans,2019
