,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,22:59,156,"1,280",541,4,28,36.6,109,3.21s,15,355,186,13,15,415,1,100%,2,5,88.3%,340,40,5,15,8,7,66%,23/35,Rabbitohs vs Cowboys,Rabbitohs,2017
1,54%,26:59,168,"1,442",570,6,40,36.1,105,3.83s,4,387,221,16,13,350,0,86%,3,1,83.8%,264,28,23,12,5,8,72%,29/40,Rabbitohs vs Cowboys,Cowboys,2017
