,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,35:28,173,"1,632",515,4,32,38,161,14,428,239,8,14,319,0,75%,5,2,91.5%,387,22,14,10,1,58%,25/43,Rabbitohs vs Titans,Rabbitohs,2014
1,37%,20:49,173,"1,574",553,3,22,35,121,9,436,236,9,21,405,1,80%,1,4,87.3%,356,32,20,14,0,69%,31/45,Rabbitohs vs Titans,Titans,2014
