,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,33:02,184,"1,802",680,4,26,45,261,14,436,223,9,27,787,1,94%,6,3,88.3%,341,27,18,3,1,85%,34/40,Dragons vs Storm,Dragons,2014
1,41%,22:58,160,"1,593",564,1,27,46.9,138,12,417,235,4,22,600,0,85%,3,7,89.5%,394,26,20,3,0,76%,26/34,Dragons vs Storm,Storm,2014
