,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,21:04,149,"1,344",489,1,26,33.6,99,7,391,230,16,17,501,1,100%,3,5,89.7%,367,31,11,6,1,75%,30/40,Dragons vs Panthers,Dragons,2014
1,59%,30:18,174,"1,684",580,3,31,48.1,157,8,423,237,20,20,396,2,100%,3,8,89.5%,308,26,10,10,0,86%,30/35,Dragons vs Panthers,Panthers,2014
