,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,27:46,180,"1,715",622,4,31,45.1,148,3.7s,6,432,241,33,21,482,0,60%,7,3,91.7%,286,19,7,7,84%,32/38,Cowboys vs Warriors,Cowboys,2015
1,43%,20:57,151,"1,414",438,7,19,39.3,147,3.57s,5,352,187,29,19,573,2,69%,5,3,89.7%,341,31,8,4,67%,24/36,Cowboys vs Warriors,Warriors,2015
