,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:05,198,"1,702",621,3,43,44.8,166,3.39s,12,406,222,27,15,329,0,62%,5,2,91.8%,313,17,11,10,9,8,79%,30/38,Knights vs Titans,Knights,2018
1,47%,24:01,157,"1,401",501,6,17,38.9,134,3.36s,8,368,207,23,18,420,2,75%,6,4,84.3%,343,43,21,13,9,7,78%,28/36,Knights vs Titans,Titans,2018
