,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:37,172,"1,462",430,3,15,40.6,145,17,407,224,6,19,515,100%,2,4,87.3%,322,39,1,8,8,78%,28/36,Broncos vs Rabbitohs,Broncos,2013
1,46%,22:40,172,"1,716",548,7,39,44,179,5,379,198,7,15,448,80%,0,1,90.1%,320,15,0,20,6,59%,23/39,Broncos vs Rabbitohs,Rabbitohs,2013
