,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,27:05,163,"1,769",442,9,37,44.2,240,14,357,191,20,18,480,2,83%,1,4,7,84.5%,245,34,1,11,3,73%,29/40,Warriors vs Raiders,Warriors,2013
1,41%,18:49,132,"1,371",456,1,34,45.7,136,7,313,170,19,18,394,1,91%,0,4,7,81.8%,269,37,0,23,5,67%,20/30,Warriors vs Raiders,Raiders,2013
