,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:26,146,"1,317",458,2,11,32.9,225,4,380,210,2,22,571,3,87%,0,8,91.8%,323,20,0,9,8,2,78%,31/40,Panthers vs Storm,Panthers,2014
1,46%,22:31,165,"1,521",474,2,20,40,168,6,373,202,6,23,618,2,100%,4,3,95.8%,342,11,1,4,10,0,87%,33/38,Panthers vs Storm,Storm,2014
