,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:43,163,"1,443",289,3,36,38,258,3.51s,8,382,222,9,15,286,0,100%,0,5,6,90.3%,365,34,5,11,5,0,0,8,2,71%,27/38,Knights vs Sea Eagles,Knights,2019
1,48%,25:35,153,"1,440",315,4,34,41.2,153,4.16s,3,371,201,7,18,570,2,73%,1,1,6,85.2%,277,36,12,8,11,1,1,6,1,80%,28/35,Knights vs Sea Eagles,Sea Eagles,2019
