,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,28:57,180,"1,579",531,6,31,37.6,174,3.31s,8,399,210,31,17,498,2,78%,1,3,4,86%,264,20,1,23,4,79%,33/42,Bulldogs vs Eels,Bulldogs,2015
1,41%,20:07,151,"1,363",398,3,20,40.1,188,3.5s,12,343,186,22,14,368,2,44%,0,1,3,89.7%,365,31,0,11,9,68%,23/34,Bulldogs vs Eels,Eels,2015
