,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:20,155,"1,485",545,2,22,38.1,217,11,392,208,21,22,492,0,93%,5,5,90.7%,351,22,14,5,0,72%,28/39,Titans vs Storm,Titans,2014
1,56%,28:25,162,"1,480",498,5,22,40,130,8,379,189,7,20,481,1,71%,2,5,89.8%,344,23,16,8,1,76%,28/37,Titans vs Storm,Storm,2014
