,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,26:28,153,"1,651",503,10,28,42.3,182,5,329,170,14,18,619,1,100%,0,0,1,85.6%,268,22,1,23,4,85%,33/39,Knights vs Eels,Knights,2013
1,42%,19:09,177,"1,406",431,2,22,46.9,142,16,376,216,13,16,384,1,93%,1,2,6,88.9%,272,28,0,6,6,70%,21/30,Knights vs Eels,Eels,2013
