,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:53,161,"1,451",372,7,45,40.3,65,3.3s,19,376,207,10,16,451,0,75%,4,1,88.2%,382,31,1,20,8,12,8,1,78%,28/36,Knights vs Titans,Knights,2016
1,55%,27:58,192,"1,782",577,6,31,42.4,193,3.42s,9,433,235,17,22,479,2,75%,6,5,81.2%,290,45,0,22,7,9,7,0,86%,36/42,Knights vs Titans,Titans,2016
