,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,29:10,153,"1,346",429,6,17,33.7,202,8,367,208,9,20,439,0,69%,5,5,88.1%,334,32,13,10,1,82%,33/40,Sea Eagles vs Storm,Sea Eagles,2014
1,44%,22:55,177,"1,450",491,4,32,34.5,142,12,402,205,10,22,524,2,76%,4,3,91.3%,283,17,10,9,0,79%,33/42,Sea Eagles vs Storm,Storm,2014
