,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,29:54,170,"1,575",584,3,36,40.4,226,4.11s,15,417,240,25,17,381,2,57%,1,8,82.4%,243,46,6,10,4,8,2,74%,29/39,Titans vs Raiders,Titans,2018
1,40%,19:56,125,"1,229",439,6,46,38.4,160,3.97s,3,267,128,8,14,404,0,77%,2,2,85.2%,340,36,23,12,7,8,2,69%,22/32,Titans vs Raiders,Raiders,2018
