,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,65%,33:10,144,"1,480",517,3,24,43.5,205,5,358,189,20,21,569,1,86%,6,5,88.9%,312,35,2,4,8,0,76%,26/34,Wests Tigers vs Rabbitohs,Wests Tigers,2013
1,35%,17:51,164,"1,628",537,7,35,40.7,134,3,375,206,14,18,628,0,70%,2,4,90.3%,290,24,1,7,3,1,73%,29/40,Wests Tigers vs Rabbitohs,Rabbitohs,2013
