,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:15,187,"1,850",606,2,21,42,190,3.39s,8,426,220,28,25,595,2,90%,3,7,89.6%,361,28,14,9,1,77%,34/44,Wests Tigers vs Bulldogs,Wests Tigers,2015
1,49%,27:09,187,"1,831",723,6,28,45.8,214,3.44s,9,407,224,25,18,499,1,73%,6,3,92.2%,368,21,10,8,0,82%,33/40,Wests Tigers vs Bulldogs,Bulldogs,2015
