,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,64%,30:31,178,"1,595",505,7,27,38,272,9,402,224,22,21,557,4,89%,1,3,89.3%,260,27,4,9,74%,31/42,Sea Eagles vs Storm,Sea Eagles,2013
1,36%,17:09,139,"1,139",340,5,27,33.5,100,3,319,180,15,15,504,1,93%,1,4,88.7%,305,27,12,7,65%,22/34,Sea Eagles vs Storm,Storm,2013
