,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,68%,31:52,179,"1,704",591,5,19,42.6,260,6,434,243,5,19,497,2,100%,1,1,5,95%,228,8,4,6,73%,29/40,Knights vs Wests Tigers,Knights,2013
1,32%,14:59,106,922,283,4,8,30.7,100,3,240,125,5,12,378,0,75%,0,3,4,93.8%,381,19,6,10,67%,20/30,Knights vs Wests Tigers,Wests Tigers,2013
