,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,27:03,182,"1,698",571,5,32,40.4,219,3.25s,13,401,225,63,19,435,1,83%,6,5,86.3%,354,41,15,10,5,8,76%,32/42,Storm vs Sharks,Storm,2018
1,52%,29:19,179,"1,733",552,4,41,48.2,186,3.56s,11,406,228,44,18,479,2,70%,3,6,85.3%,308,32,21,11,12,8,72%,26/36,Storm vs Sharks,Sharks,2018
