,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:55,176,"1,609",674,1,15,41.3,224,3.38s,8,378,181,13,23,671,1,92%,4,5,84.4%,356,34,32,9,6,8,82%,32/39,Panthers vs Bulldogs,Panthers,2017
1,51%,29:04,199,"1,668",701,2,34,41.7,206,3.41s,21,433,230,15,21,595,1,50%,7,6,93.2%,345,15,10,10,4,8,75%,30/40,Panthers vs Bulldogs,Bulldogs,2017
