,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,27:36,202,"1,791",508,4,44,43.7,268,3.62s,12,418,211,19,25,539,1,62%,0,8,6,88.1%,297,27,13,7,1,7,0,80%,33/41,Wests Tigers vs Storm,Wests Tigers,2017
1,43%,20:49,160,"1,636",373,5,27,43.1,198,3.23s,7,331,161,10,20,582,1,80%,1,1,3,86.8%,381,44,14,14,5,8,2,66%,25/38,Wests Tigers vs Storm,Storm,2017
