,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,28:49,189,"1,729",573,1,22,38.4,203,6,459,258,10,22,566,4,75%,2,6,90.9%,289,22,7,3,76%,34/45,Cowboys vs Roosters,Cowboys,2013
1,46%,24:32,155,"1,376",417,3,22,39.3,153,5,356,174,2,21,642,1,78%,2,5,91.4%,342,22,10,9,77%,27/35,Cowboys vs Roosters,Roosters,2013
