,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:52,168,"1,664",597,5,50,45,233,3.4s,10,370,190,11,18,617,0,50%,3,5,82.4%,313,40,27,9,10,1,2,8,0,78%,29/37,Broncos vs Panthers,Broncos,2019
1,50%,27:52,182,"1,708",561,2,40,42.7,237,3.51s,14,407,241,29,15,314,2,67%,7,4,83.3%,355,50,21,14,6,1,0,7,1,70%,28/40,Broncos vs Panthers,Panthers,2019
