,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,33:06,183,"1,551",488,2,13,41.9,184,3.57s,11,399,200,34,22,526,2,88%,3,7,92.5%,343,15,13,5,73%,27/37,Sea Eagles vs Bulldogs,Sea Eagles,2015
1,40%,22:04,186,"1,542",525,2,15,42.9,190,3.32s,9,416,231,34,20,467,0,86%,0,6,92%,346,13,17,5,69%,25/36,Sea Eagles vs Bulldogs,Bulldogs,2015
