,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,21:41,182,"1,647",557,4,43,42.2,188,3.92s,5,399,215,22,21,633,3,71%,7,3,85.2%,327,34,23,8,1,69%,27/39,Roosters vs Panthers,Roosters,2015
1,58%,29:57,171,"1,471",462,4,34,38.7,160,3.44s,17,365,192,32,15,399,0,83%,3,1,86.5%,352,43,12,5,0,66%,25/38,Roosters vs Panthers,Panthers,2015
