,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:21,161,"1,279",395,2,19,38.8,132,3.77s,8,360,214,20,13,264,4,67%,1,7,87.1%,323,32,0,16,12,5,0,6,67%,22/33,Titans vs Broncos,Titans,2017
1,55%,27:19,176,"1,886",515,8,32,52.4,159,3.82s,7,344,180,29,14,347,1,71%,3,4,89.2%,297,19,1,17,10,9,1,8,81%,29/36,Titans vs Broncos,Broncos,2017
