,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:23,148,"1,413",522,3,15,37.2,165,3.73s,1,353,192,23,20,411,2,75%,4,6,93.5%,362,17,8,4,0,76%,29/38,Storm vs Rabbitohs,Storm,2015
1,52%,26:24,163,"1,348",535,2,17,40.9,159,3.9s,6,384,212,20,25,529,3,91%,4,2,95.4%,333,15,1,7,1,76%,25/33,Storm vs Rabbitohs,Rabbitohs,2015
