,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,29:51,203,"2,020",549,4,20,51.8,279,3.57s,14,477,257,24,25,463,1,83%,11,6,87.7%,336,29,18,8,7,1,8,1,85%,33/39,Titans vs Dragons,Titans,2016
1,46%,25:26,181,"1,733",521,4,29,41.3,178,3.42s,12,414,213,18,22,617,3,88%,3,7,90.6%,375,20,19,9,5,0,7,3,81%,34/42,Titans vs Dragons,Dragons,2016
