,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,37%,17:51,148,"1,478",496,4,27,38.9,151,6,347,193,7,12,316,0,88%,3,2,87.6%,318,21,0,24,6,58%,22/38,Sharks vs Bulldogs,Sharks,2013
1,63%,30:23,182,"1,603",648,2,21,41.1,95,18,439,235,6,25,559,2,100%,5,8,85.8%,278,27,3,19,9,82%,32/39,Sharks vs Bulldogs,Bulldogs,2013
