,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:42,183,"1,568",449,6,26,44.8,166,3.29s,13,373,200,28,15,530,1,89%,3,2,88.9%,304,20,0,18,9,6,8,2,77%,27/35,Bulldogs vs Sea Eagles,Bulldogs,2017
1,50%,25:42,154,"1,474",477,3,20,43.4,143,3.65s,13,356,190,19,18,465,0,80%,4,1,87.7%,328,26,1,20,7,5,8,0,82%,28/34,Bulldogs vs Sea Eagles,Sea Eagles,2017
