,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,24:52,168,"1,512",512,5,26,44.5,225,15,392,213,11,19,595,100%,0,3,1,87.3%,255,24,13,6,85%,29/34,Warriors vs Storm,Warriors,2013
1,46%,21:11,132,"1,396",458,9,24,37.7,143,8,336,186,16,17,447,73%,2,1,4,88.3%,340,26,19,4,70%,26/37,Warriors vs Storm,Storm,2013
