,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:52,163,"1,486",525,3,24,42.5,179,2,371,195,10,21,547,0,90%,4,3,93%,374,15,13,10,0,71%,25/35,Bulldogs vs Rabbitohs,Bulldogs,2014
1,50%,27:52,183,"1,738",557,4,15,40.4,220,9,412,213,13,23,666,3,93%,8,4,92%,347,24,6,6,2,81%,35/43,Bulldogs vs Rabbitohs,Rabbitohs,2014
