,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:39,173,"1,636",560,4,43,42,162,3.52s,6,376,199,6,20,549,2,57%,3,6,87.7%,328,36,1,10,5,11,1,6,2,90%,35/39,Knights vs Roosters,Knights,2019
1,48%,24:36,159,"1,385",477,3,36,36.5,169,3.44s,5,335,172,7,15,339,1,83%,4,3,86.3%,328,43,0,9,15,9,0,7,2,68%,26/38,Knights vs Roosters,Roosters,2019
